x,y
254437.5,609412.48
254462.5,609387.52
254462.5,609362.48
254487.5,609337.52
254512.5,609312.48
254537.5,609287.52
254562.5,609262.48
254587.5,609237.52
254612.5,609212.48
254637.5,609187.52
254662.5,609187.52
254687.5,609162.48
254712.5,609162.48
254737.5,609137.52
254762.5,609112.48
254787.5,609087.52
254812.5,609062.48
254820.94,609027.64
254835.6,608947
254897.92,608892
254987.5,608862.48
255012.5,608837.52
255037.5,608812.48
255062.5,608787.52
255087.5,608762.48
255112.5,608762.48
255137.5,608737.52
255162.5,608737.52
255187.5,608712.48
255212.5,608712.48
255237.5,608712.48
255262.5,608712.48
255287.5,608687.52
255312.5,608687.52
255337.5,608687.52
255362.5,608662.48
255387.5,608637.52
255412.5,608612.48
255437.5,608612.48
255462.5,608612.48
255487.5,608612.48
255512.5,608612.48
255537.5,608612.48
255562.5,608612.48
255587.5,608612.48
255612.5,608587.52
255637.5,608587.52
255662.5,608562.48
255687.5,608537.52
255712.5,608512.48
255737.5,608487.52
255762.5,608462.48
255787.5,608437.52
255812.5,608412.48
255837.5,608387.52
255837.5,608362.48
255837.5,608337.52
255862.5,608312.48
255887.5,608287.52
255912.5,608262.48
255937.5,608237.52
255962.5,608212.48
255987.5,608187.52
256012.5,608162.48
256037.5,608137.52
256037.5,608112.48
256037.5,608087.52
256062.5,608062.48
256087.5,608037.52
256112.5,608012.48
256137.5,607987.52
256162.5,607962.48
256187.5,607937.52
256187.5,607912.48
256187.5,607887.52
256187.5,607862.48
256187.5,607837.52
256212.5,607812.48
256237.5,607787.52
256237.5,607762.48
256262.5,607737.52
256262.5,607712.48
256287.5,607687.52
256287.5,607662.48
256312.5,607637.52
256337.5,607612.48
256362.5,607587.52
256487.5,607587.52
256512.5,607587.52
256537.5,607587.52
256562.5,607587.52
256587.5,607587.52
256662.5,607462.48
256687.5,607437.52
256712.5,607412.48
256737.5,607387.52
256762.5,607362.48
256787.5,607337.52
256812.5,607312.48
256837.5,607312.48
256862.5,607312.48
256887.5,607287.52
256912.5,607287.52
256937.5,607262.48
256962.5,607237.52
256987.5,607212.48
256987.5,607187.52
257012.5,607162.48
257012.5,607137.52
257037.5,607112.48
257062.5,607087.52
257087.5,607062.48
257112.5,607037.52
257137.5,607037.52
257162.5,607012.48
257187.5,606987.52
257212.5,606962.48
257212.5,606937.52
257237.5,606912.48
257237.5,606887.52
257262.5,606862.48
257262.5,606837.52
257287.5,606812.48
257312.5,606787.52
257312.5,606762.48
257337.5,606737.52
257362.5,606712.48
257387.5,606687.52
257399.96,606675.04
257403.22,606600
257404.16,606579.12
257404.68,606570.32
257405.34,606555.36
257406.06,606543.92
257406.68,606531.68
